county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Weber,Weber,Weber County,49057,UT,Utah,41.2698,-111.9134,262960,"Weber County, UT"
Kalamazoo,Kalamazoo,Kalamazoo County,26077,MI,Michigan,42.2455,-85.5312,261426,"Kalamazoo County, MI"
Cumberland,Cumberland,Cumberland County,42041,PA,Pennsylvania,40.1636,-77.2655,261269,"Cumberland County, PA"
McLennan,McLennan,McLennan County,48309,TX,Texas,31.5524,-97.2018,261090,"McLennan County, TX"
Harford,Harford,Harford County,24025,MD,Maryland,39.5611,-76.3171,261059,"Harford County, MD"
Marin,Marin,Marin County,6041,CA,California,38.0734,-122.7234,260485,"Marin County, CA"
St. Clair,St. Clair,St. Clair County,17163,IL,Illinois,38.4703,-89.9284,256791,"St. Clair County, IL"
Yakima,Yakima,Yakima County,53077,WA,Washington,46.4571,-120.7385,256143,"Yakima County, WA"
Jefferson,Jefferson,Jefferson County,48245,TX,Texas,29.8841,-94.1629,254942,"Jefferson County, TX"
Forsyth,Forsyth,Forsyth County,13117,GA,Georgia,34.2255,-84.1251,253225,"Forsyth County, GA"
Clay,Clay,Clay County,29047,MO,Missouri,39.3105,-94.4209,253085,"Clay County, MO"
Chesapeake,Chesapeake,Chesapeake City,51550,VA,Virginia,36.6778,-76.3023,249377,"Chesapeake City, VA"
Williamson,Williamson,Williamson County,47187,TN,Tennessee,35.8938,-86.8986,248897,"Williamson County, TN"
Washington,Washington,Washington County,5143,AR,Arkansas,35.9791,-94.2156,247331,"Washington County, AR"
Hays,Hays,Hays County,48209,TX,Texas,30.0579,-98.0312,245351,"Hays County, TX"
Warren,Warren,Warren County,39165,OH,Ohio,39.4277,-84.1668,243189,"Warren County, OH"
Lafayette,Lafayette,Lafayette Parish,22055,LA,Louisiana,30.2068,-92.0639,243175,"Lafayette Parish, LA"
Henry,Henry,Henry County,13151,GA,Georgia,33.453,-84.1542,240853,"Henry County, GA"
Sussex,Sussex,Sussex County,10005,DE,Delaware,38.6606,-75.39,240668,"Sussex County, DE"
Union,Union,Union County,37179,NC,North Carolina,34.9884,-80.5307,240109,"Union County, NC"
Yavapai,Yavapai,Yavapai County,4025,AZ,Arizona,34.5998,-112.5537,237830,"Yavapai County, AZ"
Norfolk,Norfolk,Norfolk City,51710,VA,Virginia,36.8947,-76.257,236973,"Norfolk City, VA"
Saratoga,Saratoga,Saratoga County,36091,NY,New York,43.1074,-73.8639,236328,"Saratoga County, NY"
Caddo,Caddo,Caddo Parish,22017,LA,Louisiana,32.5806,-93.8823,236259,"Caddo Parish, LA"
Arlington,Arlington,Arlington County,51013,VA,Virginia,38.8786,-77.1011,235845,"Arlington County, VA"
Canyon,Canyon,Canyon County,16027,ID,Idaho,43.6251,-116.7093,235006,"Canyon County, ID"
Smith,Smith,Smith County,48423,TX,Texas,32.375,-95.2692,234667,"Smith County, TX"
Brazos,Brazos,Brazos County,48041,TX,Texas,30.6608,-96.3024,234548,"Brazos County, TX"
Baldwin,Baldwin,Baldwin County,1003,AL,Alabama,30.7277,-87.7226,233420,"Baldwin County, AL"
Lake,Lake,Lake County,39085,OH,Ohio,41.6963,-81.2373,232236,"Lake County, OH"
Tuscaloosa,Tuscaloosa,Tuscaloosa County,1125,AL,Alabama,33.2896,-87.5251,231558,"Tuscaloosa County, AL"
Berkeley,Berkeley,Berkeley County,45015,SC,South Carolina,33.1973,-79.9522,231419,"Berkeley County, SC"
Oneida,Oneida,Oneida County,36065,NY,New York,43.2418,-75.4358,231055,"Oneida County, NY"
Barnstable,Barnstable,Barnstable County,25001,MA,Massachusetts,41.7244,-70.2903,229436,"Barnstable County, MA"
Linn,Linn,Linn County,19113,IA,Iowa,42.079,-91.599,229308,"Linn County, IA"
Gaston,Gaston,Gaston County,37071,NC,North Carolina,35.2944,-81.1803,228972,"Gaston County, NC"
New Hanover,New Hanover,New Hanover County,37129,NC,North Carolina,34.2329,-77.8848,228134,"New Hanover County, NC"
Montgomery,Montgomery,Montgomery County,1101,AL,Alabama,32.2203,-86.2076,228132,"Montgomery County, AL"
Mahoning,Mahoning,Mahoning County,39099,OH,Ohio,41.0146,-80.7763,227979,"Mahoning County, OH"
Richmond,Richmond,Richmond City,51760,VA,Virginia,37.5294,-77.4756,227171,"Richmond City, VA"
Jefferson,Jefferson,Jefferson County,29099,MO,Missouri,38.261,-90.5377,226984,"Jefferson County, MO"
Hinds,Hinds,Hinds County,28049,MS,Mississippi,32.2667,-90.4429,226541,"Hinds County, MS"
Whatcom,Whatcom,Whatcom County,53073,WA,Washington,48.8259,-121.7199,226523,"Whatcom County, WA"
Cabarrus,Cabarrus,Cabarrus County,37025,NC,North Carolina,35.3868,-80.5519,226396,"Cabarrus County, NC"
Shelby,Shelby,Shelby County,1117,AL,Alabama,33.2643,-86.6607,223916,"Shelby County, AL"
Jackson,Jackson,Jackson County,41029,OR,Oregon,42.4322,-122.7285,222604,"Jackson County, OR"
Montgomery,Montgomery,Montgomery County,47125,TN,Tennessee,36.4969,-87.3828,222305,"Montgomery County, TN"
Doña Ana,Dona Ana,Doña Ana County,35013,NM,New Mexico,32.3526,-106.8328,219870,"Doña Ana County, NM"
Clay,Clay,Clay County,12019,FL,Florida,29.9831,-81.8579,219650,"Clay County, FL"
Johnston,Johnston,Johnston County,37101,NC,North Carolina,35.5178,-78.3657,219042,"Johnston County, NC"
Yolo,Yolo,Yolo County,6113,CA,California,38.6866,-121.9011,217141,"Yolo County, CA"
Delaware,Delaware,Delaware County,39041,OH,Ohio,40.2784,-83.0049,216074,"Delaware County, OH"
Lackawanna,Lackawanna,Lackawanna County,42069,PA,Pennsylvania,41.4367,-75.6092,215672,"Lackawanna County, PA"
